name,original_object,relation_origin,time,new_object,relation_new
材料加工及自动化专业,机械学院,调出,1998年,材料科学与工程学院,调入
化工机械专业,机械系,调出,1959年,无机化工系,调入
内燃机专业,机械系,调出,1979年,物理工程系,调入
应用力学专业,基础科学系,调出,1983年,力学系,调入
热能工程系,电机工程系,调出,2002年,机械工程学院,调入
计算机科学与技术系,电子信息工程学院,调出,2006年,计算机科学与技术学院,调入
内燃机专业,电机与动力工程系,调出,1971年,精密仪器工程系的热工仪表及自动化专业,调入
物理教研室、数学教研室,电机工程系,调出,1960年,数理系,调入
计算机专业,电子工程系,调出,1983年,计算机科学与工程系,调入
核电子学及仪器专业,工程物理系,调出,1962年,无线电电子学系,调入
海洋工程和船舶工程专业,水利系,调出,1983年,海洋与船舶工程系,调入
