name,relation,new_object,time
政治课教研室,改名,马列主义教研室,1957年
硅酸盐工业专业,改名,技术陶瓷专业,1952年
技术陶瓷专业,改名,无机非金属材料专业,1952年
光电子技术专业,改名,电子科学与技术（光电子技术）专业,1999年
水利工程系,改名,水资源与港湾工程系,1987年
管理学院,改名,管理与经济学部,2009年
